Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53
http://www.tobi.com/dresses/63720-tobi-terrell-velvet-shift-dress?color_id=91895,http://www.tobi.com/dresses/63529-tobi-amy-ribbed-midi-dress?color_id=91599 æ,http://www.tobi.com/dresses/63529-tobi-amy-ribbed-midi-dress?color_id=91598,http://www.tobi.com/dresses/61728-tobi-look-around-shift-dress?color_id=88916,http://www.tobi.com/dresses/61728-tobi-look-around-shift-dress?color_id=88917,http://www.tobi.com/dresses/61575-tobi-take-sides-ribbed-halter-dress?color_id=88664`,http://www.tobi.com/dresses/61575-tobi-take-sides-ribbed-halter-dress?color_id=88663,http://www.tobi.com/dresses/61575-tobi-take-sides-ribbed-halter-dress?color_id=88662,http://www.tobi.com/dresses/58981-tobi-enchanted-in-love-bodycon-dress?color_id=83749,http://www.tobi.com/dresses/58981-tobi-enchanted-in-love-bodycon-dress?color_id=83751,http://www.tobi.com/dresses/61322-tobi-vittoria-midi-dress?color_id=88325,http://www.tobi.com/dresses/61322-tobi-vittoria-midi-dress?color_id=88324,http://www.tobi.com/dresses/60006-tobi-twirl-and-flare-dress?color_id=85855,http://www.tobi.com/dresses/63360-tobi-pettra-stripe-bodycon-dress?color_id=91354,http://www.tobi.com/dresses/63360-tobi-pettra-stripe-bodycon-dress?color_id=91353,http://www.tobi.com/dresses/58818-tobi-tier-she-goes-again-shift-dress?color_id=83395,http://www.tobi.com/dresses/58818-tobi-tier-she-goes-again-shift-dress?color_id=83397 æ,http://www.tobi.com/dresses/58818-tobi-tier-she-goes-again-shift-dress?color_id=83398,http://www.tobi.com/dresses/58818-tobi-tier-she-goes-again-shift-dress?color_id=83396,http://www.tobi.com/dresses/60303-tobi-eryca-cut-out-mini-dress?color_id=86470,http://www.tobi.com/dresses/60303-tobi-eryca-cut-out-mini-dress?color_id=86469,http://www.tobi.com/dresses/60303-tobi-eryca-cut-out-mini-dress?color_id=86468,http://www.tobi.com/dresses/60456-tobi-joleen-rib-dress?color_id=86782,http://www.tobi.com/dresses/60456-tobi-joleen-rib-dress?color_id=86783,http://www.tobi.com/dresses/60489-tobi-twiggy-shift-dress?color_id=86855,http://www.tobi.com/dresses/60489-tobi-twiggy-shift-dress?color_id=86856,http://www.tobi.com/dresses/63382-tobi-zeze-plunging-maxi-dress?color_id=91392,http://www.tobi.com/dresses/63382-tobi-zeze-plunging-maxi-dress?color_id=91393,http://www.tobi.com/dresses/64080-tobi-scattered-words-floral-skater-dress?color_id=92392,http://www.tobi.com/dresses/63072-tobi-out-of-my-memory-tunic-dress?color_id=90837,http://www.tobi.com/dresses/63072-tobi-out-of-my-memory-tunic-dress?color_id=90838,http://www.tobi.com/dresses/63072-tobi-out-of-my-memory-tunic-dress?color_id=90839,http://www.tobi.com/dresses/61062-tobi-adriana-wrap-dress?color_id=87917,http://www.tobi.com/dresses/61062-tobi-adriana-wrap-dress?color_id=87919,http://www.tobi.com/dresses/61062-tobi-adriana-wrap-dress?color_id=87918,http://www.tobi.com/dresses/62621-tobi-dont-look-back-sweater-dress?color_id=90252,http://www.tobi.com/dresses/62621-tobi-dont-look-back-sweater-dress?color_id=90253,http://www.tobi.com/dresses/61857-tobi-come-together-swing-dress?color_id=89138,http://www.tobi.com/dresses/61857-tobi-come-together-swing-dress?color_id=90866,http://www.tobi.com/dresses/61857-tobi-come-together-swing-dress?color_id=89139,http://www.tobi.com/dresses/54771-tobi-sweetly-scalloped-dress?color_id=91215,http://www.tobi.com/dresses/54771-tobi-sweetly-scalloped-dress?color_id=75695,http://www.tobi.com/dresses/54771-tobi-sweetly-scalloped-dress?color_id=75693,http://www.tobi.com/dresses/57715-tobi-under-the-tree-sweater-dress?color_id=81395,http://www.tobi.com/dresses/57715-tobi-under-the-tree-sweater-dress?color_id=81397,http://www.tobi.com/dresses/57715-tobi-under-the-tree-sweater-dress?color_id=81398,http://www.tobi.com/dresses/63127-tobi-up-to-it-sweater-dress?color_id=90929,http://www.tobi.com/dresses/63127-tobi-up-to-it-sweater-dress?color_id=90928,http://www.tobi.com/dresses/64094-tobi-ellis-floral-cold-shoulder-dress?color_id=92408,http://www.tobi.com/dresses/63074-tobi-by-my-side-off-shoulder-dress?color_id=90841
1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,,1,,1,2,2,2,,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,,,,,,,,,,,1,1,1,1,1,2,1,1,1,2
1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
