Template,,,,,,,,,,,,,,,,,,,,,,,
,pink,purple,red,orange,yellow,green,cyan,blue,brown,white,gray,multicolored,,,,,,,,,,,
Color,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,
Shade,,,,,,,,,,,,,,,,,,,,,,,
Pink,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,
,n/a,pink #FFC0CB,light pink #FFB6C1,hot pink  #FF69B4,deep pink #FF1493,pale violet red #DB7093,medium violet red #C71585,,,,,,,,,,,,,,,,
Purple,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
,n/a,lavender #E6E6FA,thistle  #D8BFD8,plum  #DDA0DD,orchid #DA70D6,violet #EE82EE,fuschia #FF00FF,magenta #FF00FF,medium orchid   #BA55D3,dark orchid  #9932CC,dark violet  #9400D3,blue violet#8A2BE2,dark magenta  #8B008B,purple   #800080,medium purple   #9370DB,medium slate blue  #7B68EE,slate blue   #6A5ACD,dark slate blue  #483D8B,rebecca purple  #663399,indigo  #4B0082,,,
Red,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,n/a,light salmon #FFA07A,salmon #FA8072,dark salmon #E9967A,light coral #F08080,indian red #CD5C5C,crimson   #DC143C,red   #FF0000,fire brick #B22222,dark red #8B0000,,,,,,,,,,,,,
Orange,0,1,2,3,4,5,,,,,,,,,,,,,,,,,
,n/a,orange #FFA500,dark orange   #FF8C00,coral #FF7F50,tomato   #FF6347,orange red   #FF4500,,,,,,,,,,,,,,,,,
Yellow,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,
,n/a,gold #FFD700,yellow #FFFF00,light yellow #FFFFE0,lemon chiffon #FFFACD,light golden rod yellow #FAFAD2,papaya whip   #FFEFD5,moccasin   #FFE4B5,peach puff   #FFDAB9,pale golden rod  #EEE8AA,khaki  #F0E68C,dark khaki #BDB76B,,,,,,,,,,,
Green,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,n/a,green yellow #ADFF2F,chartreuse #7FFF00,lawn green #7CFC00,lime  #00FF00,lime green  #32CD32,pale green#98FB98,light green  #90EE90,medium spring green #00FA9A,spring green   #00FF7F,smedium sea green   #3CB371,sea green   #2E8B57,forest green   #228B22,green   #008000,dark green #006400,yellow green   #9ACD32,olive drab   #6B8E23,dark olive green   #556B2F,medium aqua marine  #66CDAA,dark sea green   #8FBC8F,light sea green   #20B2AA,dark cyan   #008B8B,teal   #008080
Cyan,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
,n/a,aqua #00FFFF,cyan   #00FFFF,light cyan  #E0FFFF,pale turquoise   #AFEEEE,aquamarine #7FFFD4,turquoise  #40E0D0,medium turquoise   #48D1CC,dark turquoise   #00CED1,,,,,,,,,,,,,,
Blue,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,
,n/a,cadet blue   #5F9EA0,steel blue #4682B4,light steel blue   #B0C4DE,light blue   #ADD8E6,powder blue #B0E0E6,light sky blue   #87CEFA,sky blue #87CEEB,cornflower blue   #6495ED,deep sky blue   #00BFFF,dodger blue   #1E90FF,royal blue   #4169E1,blue   #0000FF,medium blue #0000CD,dark blue   #00008B,navy #000080,midnight blue   #191970,,,,,,
Brown,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,
,n/a,cornsilk  #FFF8DC,blanched almond #FFEBCD,bisque   #FFE4C4,navajo white #FFDEAD,wheat   #F5DEB3,burly wood   #DEB887,tan   #D2B48C,rosy brown   #BC8F8F,sandy brown   #F4A460,golden rod   #DAA520,dark golden rod   #B8860B,peru   #CD853F,chocolate    #D2691E,olive #808000,saddle brown   #8B4513,sienna   #A0522D,brown #A52A2A,maroon #800000,,,,
White,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,,
,n/a,white #FFFFFF,snow #FFFAFA,honeydew #F0FFF0,mint cream   #F5FFFA,azure   #F0FFFF,alice blue   #F0F8FF,ghost white  #F8F8FF,white smoke  #F5F5F5,sea shell  #FFF5EE,beige  #F5F5DC,old lace  #FDF5E6,floral white   #FFFAF0,ivory   #FFFFF0,antique white   #FAEBD7,linen   #FAF0E6,lavender blush #FFF0F5,misty rose #FFE4E1,,,,,
Gray,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,
,n/a,gainsboro   #DCDCDC,light gray #D3D3D3,silver #C0C0C0,dark gray   #A9A9A9,dim gray  #696969,gray #808080,light slate gray #778899,slate gray   #708090,dark slate gray #2F4F4F,black   #000000,,,,,,,,,,,,
Length,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,
,"micro (30-32"")","mini (34-35"")","just above knee (36-37"")","knee (39-40"")","just below knee (41-43"")","maxi calf length (45-47"")","high-ankle length (55-57"")","floor length/maxi (60-62"")",,,,,,,,,,,,,,,
Style,0,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,
,A-line,peplum,blousen,"""prom"" long",empire waist,tiered,shift,maxi,sweater,bodycon,a-line,high-low,tunic,,,,,,,,,,
Neckline,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,
,illusion,sweetheart,straight across,V-neck,Deep/plunging V,asymmetric,off-shoulder,high neck,square,scoop,round,boat,,,,,,,,,,,
Back,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,scoop,V,deep V,asymmetric,square,backless,round,boat,razorback,high neck,,,,,,,,,,,,,
Hemline,0,1,,,,,,,,,,,,,,,,,,,,,
,straight,other,,,,,,,,,,,,,,,,,,,,,
Strap,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,
,strapless,spaghetti,sleeveless,cap sleeve,short,three-fourths,long,,,,,,,,,,,,,,,,
Print,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
,n/a,polka-dot,stripes,checkered,animal print,geometric,floral,tribal,other,,,,,,,,,,,,,,
Pockets,0,1,,,,,,,,,,,,,,,,,,,,,
,no,yes,,,,,,,,,,,,,,,,,,,,,
Embroidery,0,1,,,,,,,,,,,,,,,,,,,,,
,no,yes,,,,,,,,,,,,,,,,,,,,,
Sequins,0,1,,,,,,,,,,,,,,,,,,,,,
,no,yes,,,,,,,,,,,,,,,,,,,,,
Cut-outs,0,1,,,,,,,,,,,,,,,,,,,,,
,no,yes,,,,,,,,,,,,,,,,,,,,,
metallic shine,0,1,,,,,,,,,,,,,,,,,,,,,
,no,yes,,,,,,,,,,,,,,,,,,,,,
