URL,Color,Length,Style,Neckline,Back,Hemline,Strap,Print,Pockets,Embroidery,Sequins,Cut-outs,metallic shine,Color 1,Shade 1,Color 2,Shade 2,Color 3,Shade 3,Color 4,Shade 4,Color 5,Shade 5,Color 6,Shade 6,Color 7,Shade 7,Color 8,Shade 8,Color 9,Shade 9
http://www.fedoraboutique.com/collections/dresses/products/25-1,7,1,6,10,6,0,2,5,0,1,0,0,0,7,2,9,1,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/23-1,7,1,6,7,8,0,2,6,0,0,0,0,0,3,4,7,15,9,1,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/23-1,7,1,6,10,6,0,1,8,0,0,0,1,0,7,15,6,5,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/21-1,11,2,6,9,8,0,2,5,0,0,0,0,0,1,19,2,1,3,5,4,7,5,18,6,2,7,8,8,7,9,1
http://www.fedoraboutique.com/collections/dresses/products/13-1,7,1,2,10,6,0,5,6,0,0,0,0,0,7,11,9,4,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/12-1,9,1,6,9,0,0,5,8,0,0,0,0,0,2,3,9,17,10,10,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/11,9,1,2,3,0,0,1,6,1,0,0,1,0,9,1,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/6,7,1,2,3,1,0,1,5,0,0,0,0,0,0,3,2,1,3,5,4,8,6,3,7,16,9,1,,,,
http://www.fedoraboutique.com/collections/dresses/products/3,7,0,6,10,6,0,5,8,0,0,0,1,0,7,2,9,1,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/2,7,2,6,4,8,1,1,0,0,0,0,0,0,7,2,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/1,2,2,6,4,8,1,1,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/p,7,1,6,9,6,0,6,8,0,0,0,0,0,0,1,0,4,1,8,2,7,4,8,5,16,7,16,9,1,,
http://www.fedoraboutique.com/collections/dresses/products/o,8,0,8,7,9,0,6,0,0,0,0,0,0,8,17,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/n,2,1,6,11,7,0,6,0,0,0,0,0,0,2,7,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/42,10,7,7,3,4,0,1,2,0,0,0,0,0,9,13,10,10,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/34,5,2,0,1,5,0,1,5,0,0,0,0,0,1,1,2,7,5,10,8,7,10,10,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/27-1,9,1,10,7,9,0,2,0,0,0,0,1,0,9,13,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/26,11,7,7,2,4,0,0,7,0,0,0,0,0,0,2,1,18,3,3,4,4,7,10,8,11,9,4,,,,
http://www.fedoraboutique.com/collections/dresses/products/10,11,1,6,9,0,1,2,8,0,0,0,0,0,0,6,1,19,4,1,5,10,7,14,9,8,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/bbb-1,0,7,7,3,0,1,1,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/a17,9,7,7,10,6,0,2,0,0,0,0,0,0,9,17,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/a9,0,1,2,7,9,0,2,2,0,0,0,0,0,9,1,9,17,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/aaa7,7,2,2,9,2,0,1,0,0,0,0,0,1,7,16,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/aaa6,10,1,10,10,8,0,2,8,0,0,0,1,1,8,7,10,5,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/aaa3,9,1,2,10,8,0,2,0,0,0,0,0,1,9,13,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/lll,2,1,2,10,6,0,1,0,0,0,0,1,0,2,7,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/rio-dress,2,0,9,2,6,0,2,0,0,0,0,1,0,2,6,,,,,,,,,,,,,,,,
http://www.fedoraboutique.com/collections/dresses/products/santorini-maxi-dress,10,6,7,2,4,0,0,6,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,
